id,stationName,centerX,centerY
1,RENGALI,95,242
2,SASON,74,295
3,SARLA,71,340
4,LAPANGA,122,190
5,BRUNDAMAL,158,137
6,JHARSUGUDA Jn.,211,73
7,JHARSUGUDA Rd,188,98
