id,stationName,centerX,centerY
1,BAITARANI RD,828,415
2,BYREE,703,393
3,KAPILAS RD,691,445
4,NERGUNDI,670,472
5,CHADIKHOL RD,755,341
6,UDAYAGIRI RATNAGIRI,786,368
7,LALITGIRI,808,392
8,BAJIPARA,828,415
9,KENDRAPARA,845,442
10,MARSAGHAI RD,863,480
11,DHANMANDAL,704,336
12,DHENKANAL,704,336
13,DUBURI,543,268
14,NARANPUR,703,305
15,HARICHANDANPUR,703,305
16,HARIDASPUR,703,305
17,NEW GARHMADHUPUR,701,273
18,TOMKA,576,258
19,TOMKA 'B',576,258
20,TOMKA 'A',576,258
21,JENAPUR,698,240
22,JAKHAPURA,695,210
23,MACHAPUR,695,210
24,JAJPUR KEONJHAR RD,736,157
25,DAITARI,543,268
26,KENDUAPADA,861,98
27,BHADRAK,928,35
28,RANDIA BAUDPUR,901,63
