No.,Station Name
1,PARVATIPURAM
2,SITANAGARAM
3,SALUR
4,BOBBILI
5,DONKINAVALASA
6,KOMATIPALLI
7,GAJAPATINAGARAM
8,GARUDABALLI
9,GOTLAM
10,KOTABOMMALI
11,TILARU
12,URLAM
13,SRIKAKULAM RD.
14,DUSI
15,PONDURU
16,SIGADAM
17,CHIPURUPALLI
18,GARIVIDI
19,NELLIMARALA
